0.52366    0.01243
0.63154    0.17407
0.68427    0.39787
0.73152    0.32327
0.78924    0.19893
0.84174    0.11190
0.89690    0.06838
0.95207    0.04352
1.00200    0.03730
1.06244    0.02487
1.10975    0.03108
1.16494    0.03108
1.21486    0.01865
1.27269    0.02487
1.32789    0.03730
1.38046    0.04973
1.43565    0.05595
1.48297    0.07460
1.54081    0.09947
1.59341    0.14298
1.64599    0.16785
1.69594    0.18650
1.74851    0.19893
1.80369    0.18650
1.85095    0.12433
1.90615    0.14298
1.96134    0.13677
2.01652    0.12433
2.06907    0.11190
2.12426    0.11190
2.17420    0.11190
2.22938    0.09947
2.27931    0.09947
2.33450    0.09947
2.38970    0.10568
2.43963    0.09947
2.49219    0.09947
