Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
77.400	0.34167	53.847	0.018571	1.5833	2.2178	161.06	21.040	29.821	177.89	2.6407	5.3942	0.0070882	vapor
77.400	0.34333	54.114	0.018480	1.5832	2.2177	161.02	21.041	29.825	177.88	2.6408	5.3943	0.0070884	vapor
77.400	0.34500	54.380	0.018389	1.5832	2.2176	160.98	21.043	29.828	177.88	2.6410	5.3944	0.0070886	vapor
77.400	0.34667	54.647	0.018299	1.5831	2.2174	160.93	21.044	29.832	177.87	2.6411	5.3946	0.0070889	vapor
77.400	0.34833	54.914	0.018210	1.5830	2.2173	160.89	21.045	29.836	177.86	2.6413	5.3947	0.0070891	vapor
77.400	0.35000	55.180	0.018122	1.5829	2.2172	160.85	21.047	29.839	177.85	2.6414	5.3948	0.0070893	vapor
77.400	0.35167	55.447	0.018035	1.5828	2.2171	160.81	21.048	29.843	177.85	2.6416	5.3949	0.0070896	vapor
77.400	0.35333	55.714	0.017949	1.5827	2.2169	160.77	21.049	29.847	177.84	2.6418	5.3951	0.0070898	vapor
77.400	0.35500	55.980	0.017863	1.5826	2.2168	160.73	21.050	29.850	177.83	2.6419	5.3952	0.0070900	vapor
77.400	0.35667	56.247	0.017779	1.5826	2.2167	160.69	21.052	29.854	177.83	2.6421	5.3953	0.0070903	vapor
77.400	0.35833	56.514	0.017695	1.5825	2.2165	160.65	21.053	29.858	177.82	2.6422	5.3955	0.0070905	vapor
77.400	0.36000	56.781	0.017612	1.5824	2.2164	160.61	21.054	29.862	177.81	2.6424	5.3956	0.0070907	vapor
77.400	0.36167	57.048	0.017529	1.5823	2.2163	160.57	21.056	29.865	177.80	2.6425	5.3957	0.0070909	vapor
77.400	0.36333	57.315	0.017448	1.5822	2.2161	160.53	21.057	29.869	177.80	2.6427	5.3958	0.0070912	vapor
77.400	0.36500	57.582	0.017367	1.5821	2.2160	160.49	21.058	29.873	177.79	2.6429	5.3960	0.0070914	vapor
77.400	0.36667	57.849	0.017286	1.5820	2.2159	160.45	21.059	29.876	177.78	2.6430	5.3961	0.0070916	vapor
77.400	0.36833	58.116	0.017207	1.5819	2.2157	160.42	21.061	29.880	177.78	2.6432	5.3962	0.0070919	vapor
77.400	0.37000	58.383	0.017128	1.5819	2.2156	160.38	21.062	29.884	177.77	2.6433	5.3963	0.0070921	vapor
77.400	0.37167	58.650	0.017050	1.5818	2.2155	160.34	21.063	29.888	177.76	2.6435	5.3965	0.0070923	vapor
77.400	0.37333	58.917	0.016973	1.5817	2.2153	160.30	21.065	29.891	177.75	2.6436	5.3966	0.0070926	vapor
77.400	0.37500	59.184	0.016896	1.5816	2.2152	160.26	21.066	29.895	177.75	2.6438	5.3967	0.0070928	vapor
77.400	0.37667	59.452	0.016820	1.5815	2.2151	160.22	21.067	29.899	177.74	2.6439	5.3969	0.0070930	vapor
77.400	0.37833	59.719	0.016745	1.5814	2.2149	160.19	21.068	29.902	177.73	2.6441	5.3970	0.0070933	vapor
77.400	0.38000	59.986	0.016670	1.5813	2.2148	160.15	21.070	29.906	177.72	2.6443	5.3971	0.0070935	vapor
77.400	0.38167	60.254	0.016597	1.5813	2.2147	160.11	21.071	29.910	177.72	2.6444	5.3972	0.0070937	vapor
77.400	0.38333	60.521	0.016523	1.5812	2.2146	160.07	21.072	29.914	177.71	2.6446	5.3974	0.0070940	vapor
77.400	0.38500	60.789	0.016450	1.5811	2.2144	160.04	21.074	29.917	177.70	2.6447	5.3975	0.0070942	vapor
77.400	0.38667	61.056	0.016378	1.5810	2.2143	160.00	21.075	29.921	177.70	2.6449	5.3976	0.0070944	vapor
77.400	0.38833	61.324	0.016307	1.5809	2.2142	159.96	21.076	29.925	177.69	2.6450	5.3978	0.0070947	vapor
77.400	0.39000	61.591	0.016236	1.5808	2.2140	159.93	21.078	29.929	177.68	2.6452	5.3979	0.0070949	vapor
77.400	0.39167	61.859	0.016166	1.5807	2.2139	159.89	21.079	29.932	177.67	2.6454	5.3980	0.0070951	vapor
77.400	0.39333	62.126	0.016096	1.5806	2.2138	159.85	21.080	29.936	177.67	2.6455	5.3981	0.0070954	vapor
77.400	0.39500	62.394	0.016027	1.5806	2.2136	159.82	21.081	29.940	177.66	2.6457	5.3983	0.0070956	vapor
77.400	0.39667	62.662	0.015959	1.5805	2.2135	159.78	21.083	29.944	177.65	2.6458	5.3984	0.0070958	vapor
77.400	0.39833	62.930	0.015891	1.5804	2.2134	159.74	21.084	29.947	177.65	2.6460	5.3985	0.0070961	vapor
77.400	0.40000	63.197	0.015823	1.5803	2.2132	159.71	21.085	29.951	177.64	2.6461	5.3986	0.0070963	vapor
77.400	0.40167	63.465	0.015757	1.5802	2.2131	159.67	21.087	29.955	177.63	2.6463	5.3988	0.0070965	vapor
77.400	0.40333	63.733	0.015690	1.5801	2.2130	159.64	21.088	29.959	177.62	2.6464	5.3989	0.0070968	vapor
77.400	0.40500	64.001	0.015625	1.5800	2.2128	159.60	21.089	29.962	177.62	2.6466	5.3990	0.0070970	vapor
77.400	0.40667	64.269	0.015560	1.5799	2.2127	159.57	21.091	29.966	177.61	2.6468	5.3992	0.0070972	vapor
77.400	0.40833	64.537	0.015495	1.5799	2.2126	159.53	21.092	29.970	177.60	2.6469	5.3993	0.0070975	vapor
77.400	0.41000	64.805	0.015431	1.5798	2.2124	159.50	21.093	29.974	177.60	2.6471	5.3994	0.0070977	vapor
77.400	0.41167	65.073	0.015367	1.5797	2.2123	159.46	21.094	29.977	177.59	2.6472	5.3995	0.0070979	vapor
77.400	0.41333	65.341	0.015304	1.5796	2.2122	159.43	21.096	29.981	177.58	2.6474	5.3997	0.0070982	vapor
77.400	0.41500	65.609	0.015242	1.5795	2.2120	159.39	21.097	29.985	177.57	2.6475	5.3998	0.0070984	vapor
77.400	0.41667	65.877	0.015180	1.5794	2.2119	159.36	21.098	29.989	177.57	2.6477	5.3999	0.0070986	vapor
77.400	0.41833	66.146	0.015118	1.5793	2.2118	159.32	21.100	29.992	177.56	2.6479	5.4001	0.0070989	vapor
77.400	0.42000	66.414	0.015057	1.5792	2.2116	159.29	21.101	29.996	177.55	2.6480	5.4002	0.0070991	vapor
77.400	0.42167	66.682	0.014996	1.5792	2.2115	159.26	21.102	30.000	177.54	2.6482	5.4003	0.0070993	vapor
77.400	0.42333	66.951	0.014936	1.5791	2.2114	159.22	21.104	30.004	177.54	2.6483	5.4004	0.0070996	vapor
77.400	0.42500	67.219	0.014877	1.5790	2.2112	159.19	21.105	30.008	177.53	2.6485	5.4006	0.0070998	vapor
77.400	0.42667	67.487	0.014818	1.5789	2.2111	159.15	21.106	30.011	177.52	2.6486	5.4007	0.0071001	vapor
77.400	0.42833	67.756	0.014759	1.5788	2.2110	159.12	21.107	30.015	177.52	2.6488	5.4008	0.0071003	vapor
77.400	0.43000	68.024	0.014701	1.5787	2.2109	159.09	21.109	30.019	177.51	2.6490	5.4010	0.0071005	vapor
77.400	0.43167	68.293	0.014643	1.5786	2.2107	159.05	21.110	30.023	177.50	2.6491	5.4011	0.0071008	vapor
77.400	0.43333	68.561	0.014585	1.5785	2.2106	159.02	21.111	30.027	177.49	2.6493	5.4012	0.0071010	vapor
77.400	0.43500	68.830	0.014529	1.5785	2.2105	158.99	21.113	30.030	177.49	2.6494	5.4013	0.0071012	vapor
77.400	0.43667	69.099	0.014472	1.5784	2.2103	158.95	21.114	30.034	177.48	2.6496	5.4015	0.0071015	vapor
77.400	0.43833	69.367	0.014416	1.5783	2.2102	158.92	21.115	30.038	177.47	2.6497	5.4016	0.0071017	vapor
77.400	0.44000	69.636	0.014360	1.5782	2.2101	158.89	21.117	30.042	177.46	2.6499	5.4017	0.0071019	vapor
77.400	0.44167	69.905	0.014305	1.5781	2.2099	158.86	21.118	30.046	177.46	2.6500	5.4019	0.0071022	vapor
77.400	0.44333	70.174	0.014250	1.5780	2.2098	158.82	21.119	30.049	177.45	2.6502	5.4020	0.0071024	vapor
77.400	0.44500	70.443	0.014196	1.5779	2.2097	158.79	21.121	30.053	177.44	2.6504	5.4021	0.0071027	vapor
77.400	0.44667	70.712	0.014142	1.5778	2.2095	158.76	21.122	30.057	177.44	2.6505	5.4022	0.0071029	vapor
77.400	0.44833	70.980	0.014088	1.5778	2.2094	158.73	21.123	30.061	177.43	2.6507	5.4024	0.0071031	vapor
77.400	0.45000	71.249	0.014035	1.5777	2.2093	158.70	21.124	30.065	177.42	2.6508	5.4025	0.0071034	vapor
77.400	0.45167	71.518	0.013982	1.5776	2.2091	158.66	21.126	30.068	177.41	2.6510	5.4026	0.0071036	vapor
77.400	0.45333	71.787	0.013930	1.5775	2.2090	158.63	21.127	30.072	177.41	2.6511	5.4028	0.0071039	vapor
77.400	0.45500	72.057	0.013878	1.5774	2.2089	158.60	21.128	30.076	177.40	2.6513	5.4029	0.0071041	vapor
77.400	0.45667	72.326	0.013826	1.5773	2.2087	158.57	21.130	30.080	177.39	2.6515	5.4030	0.0071043	vapor
77.400	0.45833	72.595	0.013775	1.5772	2.2086	158.54	21.131	30.084	177.38	2.6516	5.4031	0.0071046	vapor
77.400	0.46000	72.864	0.013724	1.5771	2.2085	158.51	21.132	30.087	177.38	2.6518	5.4033	0.0071048	vapor
77.400	0.46167	73.133	0.013674	1.5771	2.2083	158.47	21.134	30.091	177.37	2.6519	5.4034	0.0071050	vapor
77.400	0.46333	73.403	0.013623	1.5770	2.2082	158.44	21.135	30.095	177.36	2.6521	5.4035	0.0071053	vapor
77.400	0.46500	73.672	0.013574	1.5769	2.2081	158.41	21.136	30.099	177.36	2.6522	5.4037	0.0071055	vapor
77.400	0.46667	73.941	0.013524	1.5768	2.2079	158.38	21.138	30.103	177.35	2.6524	5.4038	0.0071058	vapor
77.400	0.46833	74.211	0.013475	1.5767	2.2078	158.35	21.139	30.107	177.34	2.6526	5.4039	0.0071060	vapor
77.400	0.47000	74.480	0.013426	1.5766	2.2077	158.32	21.140	30.110	177.33	2.6527	5.4040	0.0071062	vapor
77.400	0.47167	74.750	0.013378	1.5765	2.2075	158.29	21.142	30.114	177.33	2.6529	5.4042	0.0071065	vapor
77.400	0.47333	75.019	0.013330	1.5764	2.2074	158.26	21.143	30.118	177.32	2.6530	5.4043	0.0071067	vapor
77.400	0.47500	75.289	0.013282	1.5764	2.2073	158.23	21.144	30.122	177.31	2.6532	5.4044	0.0071070	vapor
77.400	0.47667	75.558	0.013235	1.5763	2.2071	158.20	21.146	30.126	177.30	2.6533	5.4046	0.0071072	vapor
77.400	0.47833	75.828	0.013188	1.5762	2.2070	158.17	21.147	30.130	177.30	2.6535	5.4047	0.0071074	vapor
77.400	0.48000	76.098	0.013141	1.5761	2.2069	158.14	21.148	30.133	177.29	2.6537	5.4048	0.0071077	vapor
77.400	0.48167	76.367	0.013095	1.5760	2.2067	158.11	21.150	30.137	177.28	2.6538	5.4049	0.0071079	vapor
77.400	0.48333	76.637	0.013048	1.5759	2.2066	158.08	21.151	30.141	177.28	2.6540	5.4051	0.0071082	vapor
77.400	0.48500	76.907	0.013003	1.5758	2.2065	158.05	21.152	30.145	177.27	2.6541	5.4052	0.0071084	vapor
77.400	0.48667	77.177	0.012957	1.5757	2.2063	158.02	21.154	30.149	177.26	2.6543	5.4053	0.0071086	vapor
77.400	0.48833	77.447	0.012912	1.5757	2.2062	157.99	21.155	30.153	177.25	2.6544	5.4055	0.0071089	vapor
77.400	0.49000	77.717	0.012867	1.5756	2.2061	157.96	21.156	30.157	177.25	2.6546	5.4056	0.0071091	vapor
77.400	0.49167	77.987	0.012823	1.5755	2.2059	157.93	21.158	30.160	177.24	2.6548	5.4057	0.0071094	vapor
77.400	0.49333	78.257	0.012778	1.5754	2.2058	157.90	21.159	30.164	177.23	2.6549	5.4058	0.0071096	vapor
77.400	0.49500	78.527	0.012735	1.5753	2.2057	157.87	21.160	30.168	177.22	2.6551	5.4060	0.0071098	vapor
77.400	0.49667	78.797	0.012691	1.5752	2.2055	157.84	21.162	30.172	177.22	2.6552	5.4061	0.0071101	vapor
77.400	0.49833	79.067	0.012648	1.5751	2.2054	157.81	21.163	30.176	177.21	2.6554	5.4062	0.0071103	vapor
77.400	0.50000	79.337	0.012604	1.5750	2.2053	157.78	21.164	30.180	177.20	2.6555	5.4064	0.0071106	vapor
77.400	0.50167	79.607	0.012562	1.5750	2.2051	157.76	21.166	30.184	177.20	2.6557	5.4065	0.0071108	vapor
77.400	0.50333	79.877	0.012519	1.5749	2.2050	157.73	21.167	30.188	177.19	2.6559	5.4066	0.0071111	vapor
77.400	0.50500	80.148	0.012477	1.5748	2.2049	157.70	21.168	30.191	177.18	2.6560	5.4068	0.0071113	vapor
77.400	0.50667	80.418	0.012435	1.5747	2.2047	157.67	21.170	30.195	177.17	2.6562	5.4069	0.0071115	vapor
77.400	0.50833	80.688	0.012393	1.5746	2.2046	157.64	21.171	30.199	177.17	2.6563	5.4070	0.0071118	vapor
77.400	0.51000	80.959	0.012352	1.5745	2.2045	157.61	21.172	30.203	177.16	2.6565	5.4071	0.0071120	vapor
77.400	0.51167	81.229	0.012311	1.5744	2.2043	157.58	21.174	30.207	177.15	2.6566	5.4073	0.0071123	vapor
77.400	0.51333	81.500	0.012270	1.5743	2.2042	157.56	21.175	30.211	177.14	2.6568	5.4074	0.0071125	vapor
77.400	0.51500	81.770	0.012229	1.5742	2.2041	157.53	21.176	30.215	177.14	2.6570	5.4075	0.0071128	vapor
77.400	0.51667	82.041	0.012189	1.5742	2.2039	157.50	21.178	30.219	177.13	2.6571	5.4077	0.0071130	vapor
77.400	0.51833	82.311	0.012149	1.5741	2.2038	157.47	21.179	30.222	177.12	2.6573	5.4078	0.0071132	vapor
77.400	0.52000	82.582	0.012109	1.5740	2.2037	157.44	21.180	30.226	177.11	2.6574	5.4079	0.0071135	vapor
77.400	0.52167	82.853	0.012070	1.5739	2.2035	157.42	21.182	30.230	177.11	2.6576	5.4080	0.0071137	vapor
77.400	0.52333	83.123	0.012030	1.5738	2.2034	157.39	21.183	30.234	177.10	2.6577	5.4082	0.0071140	vapor
77.400	0.52500	83.394	0.011991	1.5737	2.2033	157.36	21.184	30.238	177.09	2.6579	5.4083	0.0071142	vapor
77.400	0.52667	83.665	0.011952	1.5736	2.2031	157.33	21.186	30.242	177.09	2.6581	5.4084	0.0071145	vapor
77.400	0.52833	83.936	0.011914	1.5735	2.2030	157.31	21.187	30.246	177.08	2.6582	5.4086	0.0071147	vapor
77.400	0.53000	84.207	0.011876	1.5735	2.2029	157.28	21.188	30.250	177.07	2.6584	5.4087	0.0071150	vapor
77.400	0.53167	84.478	0.011837	1.5734	2.2027	157.25	21.190	30.254	177.06	2.6585	5.4088	0.0071152	vapor
77.400	0.53333	84.749	0.011800	1.5733	2.2026	157.23	21.191	30.258	177.06	2.6587	5.4090	0.0071154	vapor
77.400	0.53500	85.020	0.011762	1.5732	2.2025	157.20	21.192	30.262	177.05	2.6589	5.4091	0.0071157	vapor
77.400	0.53667	85.291	0.011725	1.5731	2.2023	157.17	21.194	30.265	177.04	2.6590	5.4092	0.0071159	vapor
77.400	0.53833	85.562	0.011687	1.5730	2.2022	157.14	21.195	30.269	177.03	2.6592	5.4093	0.0071162	vapor
77.400	0.54000	85.833	0.011651	1.5729	2.2020	157.12	21.196	30.273	177.03	2.6593	5.4095	0.0071164	vapor
77.400	0.54167	86.104	0.011614	1.5728	2.2019	157.09	21.198	30.277	177.02	2.6595	5.4096	0.0071167	vapor
77.400	0.54333	86.375	0.011577	1.5727	2.2018	157.06	21.199	30.281	177.01	2.6596	5.4097	0.0071169	vapor
77.400	0.54500	86.647	0.011541	1.5727	2.2016	157.04	21.200	30.285	177.00	2.6598	5.4099	0.0071172	vapor
77.400	0.54667	86.918	0.011505	1.5726	2.2015	157.01	21.202	30.289	177.00	2.6600	5.4100	0.0071174	vapor
77.400	0.54833	87.189	0.011469	1.5725	2.2014	156.98	21.203	30.293	176.99	2.6601	5.4101	0.0071177	vapor
77.400	0.55000	87.461	0.011434	1.5724	2.2012	156.96	21.204	30.297	176.98	2.6603	5.4102	0.0071179	vapor
77.400	0.55167	87.732	0.011398	1.5723	2.2011	156.93	21.206	30.301	176.98	2.6604	5.4104	0.0071181	vapor
77.400	0.55333	88.003	0.011363	1.5722	2.2010	156.91	21.207	30.305	176.97	2.6606	5.4105	0.0071184	vapor
77.400	0.55500	88.275	0.011328	1.5721	2.2008	156.88	21.208	30.309	176.96	2.6607	5.4106	0.0071186	vapor
77.400	0.55667	88.546	0.011294	1.5720	2.2007	156.85	21.210	30.313	176.95	2.6609	5.4108	0.0071189	vapor
77.400	0.55833	88.818	0.011259	1.5719	2.2006	156.83	21.211	30.317	176.95	2.6611	5.4109	0.0071191	vapor
77.400	0.56000	89.090	0.011225	1.5719	2.2004	156.80	21.212	30.320	176.94	2.6612	5.4110	0.0071194	vapor
77.400	0.56167	89.361	0.011191	1.5718	2.2003	156.77	21.214	30.324	176.93	2.6614	5.4112	0.0071196	vapor
77.400	0.56333	89.633	0.011157	1.5717	2.2002	156.75	21.215	30.328	176.92	2.6615	5.4113	0.0071199	vapor
77.400	0.56500	89.905	0.011123	1.5716	2.2000	156.72	21.217	30.332	176.92	2.6617	5.4114	0.0071201	vapor
77.400	0.56667	90.176	0.011089	1.5715	2.1999	156.70	21.218	30.336	176.91	2.6619	5.4115	0.0071204	vapor
77.400	0.56833	90.448	0.011056	1.5714	2.1998	156.67	21.219	30.340	176.90	2.6620	5.4117	0.0071206	vapor
77.400	0.57000	90.720	0.011023	1.5713	2.1996	156.65	21.221	30.344	176.89	2.6622	5.4118	0.0071209	vapor
77.400	0.57167	90.992	0.010990	1.5712	2.1995	156.62	21.222	30.348	176.89	2.6623	5.4119	0.0071211	vapor
77.400	0.57333	91.264	0.010957	1.5711	2.1994	156.60	21.223	30.352	176.88	2.6625	5.4121	0.0071214	vapor
77.400	0.57500	91.536	0.010925	1.5711	2.1992	156.57	21.225	30.356	176.87	2.6626	5.4122	0.0071216	vapor
77.400	0.57667	91.808	0.010892	1.5710	2.1991	156.55	21.226	30.360	176.87	2.6628	5.4123	0.0071219	vapor
77.400	0.57833	92.080	0.010860	1.5709	2.1990	156.52	21.227	30.364	176.86	2.6630	5.4125	0.0071221	vapor
77.400	0.58000	92.352	0.010828	1.5708	2.1988	156.50	21.229	30.368	176.85	2.6631	5.4126	0.0071223	vapor
77.400	0.58167	92.624	0.010796	1.5707	2.1987	156.47	21.230	30.372	176.84	2.6633	5.4127	0.0071226	vapor
77.400	0.58333	92.896	0.010765	1.5706	2.1986	156.45	21.231	30.376	176.84	2.6634	5.4128	0.0071228	vapor
77.400	0.58500	93.169	0.010733	1.5705	2.1984	156.42	21.233	30.380	176.83	2.6636	5.4130	0.0071231	vapor
77.400	0.58667	93.441	0.010702	1.5704	2.1983	156.40	21.234	30.384	176.82	2.6638	5.4131	0.0071233	vapor
77.400	0.58833	93.713	0.010671	1.5703	2.1981	156.37	21.236	30.388	176.81	2.6639	5.4132	0.0071236	vapor
77.400	0.59000	93.986	0.010640	1.5703	2.1980	156.35	21.237	30.392	176.81	2.6641	5.4134	0.0071238	vapor
77.400	0.59167	94.258	0.010609	1.5702	2.1979	156.32	21.238	30.396	176.80	2.6642	5.4135	0.0071241	vapor
77.400	0.59333	94.530	0.010579	1.5701	2.1977	156.30	21.240	30.400	176.79	2.6644	5.4136	0.0071243	vapor
77.400	0.59500	94.803	0.010548	1.5700	2.1976	156.27	21.241	30.404	176.78	2.6646	5.4138	0.0071246	vapor
77.400	0.59667	95.075	0.010518	1.5699	2.1975	156.25	21.242	30.408	176.78	2.6647	5.4139	0.0071248	vapor
77.400	0.59833	95.348	0.010488	1.5698	2.1973	156.22	21.244	30.412	176.77	2.6649	5.4140	0.0071251	vapor
77.400	0.60000	95.620	0.010458	1.5697	2.1972	156.20	21.245	30.416	176.76	2.6650	5.4141	0.0071253	vapor
77.400	0.60167	95.893	0.010428	1.5696	2.1971	156.17	21.246	30.420	176.75	2.6652	5.4143	0.0071256	vapor
77.400	0.60333	96.166	0.010399	1.5695	2.1969	156.15	21.248	30.424	176.75	2.6654	5.4144	0.0071258	vapor
77.400	0.60500	96.438	0.010369	1.5695	2.1968	156.13	21.249	30.428	176.74	2.6655	5.4145	0.0071261	vapor
77.400	0.60667	96.711	0.010340	1.5694	2.1967	156.10	21.251	30.432	176.73	2.6657	5.4147	0.0071263	vapor
77.400	0.60833	96.984	0.010311	1.5693	2.1965	156.08	21.252	30.436	176.72	2.6658	5.4148	0.0071266	vapor
77.400	0.61000	97.257	0.010282	1.5692	2.1964	156.05	21.253	30.440	176.72	2.6660	5.4149	0.0071268	vapor
77.400	0.61167	97.530	0.010253	1.5691	2.1963	156.03	21.255	30.444	176.71	2.6661	5.4151	0.0071271	vapor
77.400	0.61333	97.803	0.010225	1.5690	2.1961	156.01	21.256	30.448	176.70	2.6663	5.4152	0.0071273	vapor
77.400	0.61500	98.076	0.010196	1.5689	2.1960	155.98	21.257	30.452	176.70	2.6665	5.4153	0.0071276	vapor
77.400	0.61667	98.349	0.010168	1.5688	2.1959	155.96	21.259	30.456	176.69	2.6666	5.4155	0.0071279	vapor
77.400	0.61833	98.622	0.010140	1.5687	2.1957	155.94	21.260	30.460	176.68	2.6668	5.4156	0.0071281	vapor
77.400	0.62000	98.895	0.010112	1.5687	2.1956	155.91	21.261	30.464	176.67	2.6669	5.4157	0.0071284	vapor
77.400	0.62167	99.168	0.010084	1.5686	2.1954	155.89	21.263	30.468	176.67	2.6671	5.4158	0.0071286	vapor
77.400	0.62333	99.441	0.010056	1.5685	2.1953	155.87	21.264	30.472	176.66	2.6673	5.4160	0.0071289	vapor
77.400	0.62500	99.714	0.010029	1.5684	2.1952	155.84	21.266	30.476	176.65	2.6674	5.4161	0.0071291	vapor
77.400	0.62667	99.988	0.010001	1.5683	2.1950	155.82	21.267	30.480	176.64	2.6676	5.4162	0.0071294	vapor
77.400	0.62833	100.26	0.0099740	1.5682	2.1949	155.80	21.268	30.484	176.64	2.6677	5.4164	0.0071296	vapor
77.400	0.63000	100.53	0.0099469	1.5681	2.1948	155.77	21.270	30.488	176.63	2.6679	5.4165	0.0071299	vapor
77.400	0.63167	100.81	0.0099199	1.5680	2.1946	155.75	21.271	30.492	176.62	2.6681	5.4166	0.0071301	vapor
77.400	0.63333	101.08	0.0098931	1.5679	2.1945	155.73	21.272	30.496	176.61	2.6682	5.4168	0.0071304	vapor
77.400	0.63500	101.35	0.0098664	1.5678	2.1944	155.70	21.274	30.500	176.61	2.6684	5.4169	0.0071306	vapor
77.400	0.63667	101.63	0.0098398	1.5678	2.1942	155.68	21.275	30.504	176.60	2.6685	5.4170	0.0071309	vapor
77.400	0.63833	101.90	0.0098134	1.5677	2.1941	155.66	21.277	30.508	176.59	2.6687	5.4171	0.0071311	vapor
77.400	0.64000	102.18	0.0097871	1.5676	2.1940	155.63	21.278	30.512	176.58	2.6689	5.4173	0.0071314	vapor
77.400	0.64167	102.45	0.0097610	1.5675	2.1938	155.61	21.279	30.516	176.58	2.6690	5.4174	0.0071316	vapor
77.400	0.64333	102.72	0.0097350	1.5674	2.1937	155.59	21.281	30.520	176.57	2.6692	5.4175	0.0071319	vapor
77.400	0.64500	103.00	0.0097091	1.5673	2.1935	155.57	21.282	30.525	176.56	2.6693	5.4177	0.0071322	vapor
77.400	0.64667	103.27	0.0096834	1.5672	2.1934	155.54	21.284	30.529	176.55	2.6695	5.4178	0.0071324	vapor
77.400	0.64833	103.54	0.0096578	1.5671	2.1933	155.52	21.285	30.533	176.55	2.6697	5.4179	0.0071327	vapor
77.400	0.65000	103.82	0.0096323	1.5670	2.1931	155.50	21.286	30.537	176.54	2.6698	5.4181	0.0071329	vapor
77.400	0.65167	104.09	0.0096070	1.5669	2.1930	155.48	21.288	30.541	176.53	2.6700	5.4182	0.0071332	vapor
77.400	0.65333	104.37	0.0095817	1.5669	2.1929	155.45	21.289	30.545	176.52	2.6701	5.4183	0.0071334	vapor
77.400	0.65500	104.64	0.0095566	1.5668	2.1927	155.43	21.290	30.549	176.52	2.6703	5.4185	0.0071337	vapor
77.400	0.65667	104.91	0.0095317	1.5667	2.1926	155.41	21.292	30.553	176.51	2.6705	5.4186	0.0071339	vapor
77.400	0.65833	105.19	0.0095069	1.5666	2.1925	155.39	21.293	30.557	176.50	2.6706	5.4187	0.0071342	vapor
77.400	0.66000	105.46	0.0094822	1.5665	2.1923	155.36	21.295	30.561	176.49	2.6708	5.4189	0.0071344	vapor
77.400	0.66167	105.74	0.0094576	1.5664	2.1922	155.34	21.296	30.565	176.49	2.6709	5.4190	0.0071347	vapor
77.400	0.66333	106.01	0.0094331	1.5663	2.1921	155.32	21.297	30.569	176.48	2.6711	5.4191	0.0071350	vapor
77.400	0.66500	106.28	0.0094088	1.5662	2.1919	155.30	21.299	30.573	176.47	2.6713	5.4192	0.0071352	vapor
77.400	0.66667	106.56	0.0093846	1.5661	2.1918	155.28	21.300	30.577	176.47	2.6714	5.4194	0.0071355	vapor
77.400	0.66833	106.83	0.0093605	1.5661	2.1916	155.25	21.302	30.581	176.46	2.6716	5.4195	0.0071357	vapor
77.400	0.67000	107.11	0.0093365	1.5660	2.1915	155.23	21.303	30.586	176.45	2.6718	5.4196	0.0071360	vapor
77.400	0.67167	107.38	0.0093126	1.5659	2.1914	155.21	21.304	30.590	176.44	2.6719	5.4198	0.0071362	vapor
77.400	0.67333	107.66	0.0092889	1.5658	2.1912	155.19	21.306	30.594	176.44	2.6721	5.4199	0.0071365	vapor
77.400	0.67500	107.93	0.0092653	1.5657	2.1911	155.17	21.307	30.598	176.43	2.6722	5.4200	0.0071367	vapor
77.400	0.67667	108.20	0.0092418	1.5656	2.1910	155.15	21.309	30.602	176.42	2.6724	5.4202	0.0071370	vapor
77.400	0.67833	108.48	0.0092184	1.5655	2.1908	155.12	21.310	30.606	176.41	2.6726	5.4203	0.0071373	vapor
77.400	0.68000	108.75	0.0091951	1.5654	2.1907	155.10	21.311	30.610	176.41	2.6727	5.4204	0.0071375	vapor
77.400	0.68167	109.03	0.0091719	1.5653	2.1906	155.08	21.313	30.614	176.40	2.6729	5.4206	0.0071378	vapor
77.400	0.68333	109.30	0.0091489	1.5652	2.1904	155.06	21.314	30.618	176.39	2.6730	5.4207	0.0071380	vapor
77.400	0.68500	109.58	0.0091260	1.5652	2.1903	155.04	21.315	30.622	176.38	2.6732	5.4208	0.0071383	vapor
77.400	0.68667	109.85	0.0091031	1.5651	2.1901	155.02	21.317	30.627	176.38	2.6734	5.4210	0.0071385	vapor
77.400	0.68833	110.13	0.0090804	1.5650	2.1900	154.99	21.318	30.631	176.37	2.6735	5.4211	0.0071388	vapor
77.400	0.69000	110.40	0.0090578	1.5649	2.1899	154.97	21.320	30.635	176.36	2.6737	5.4212	0.0071391	vapor
77.400	0.69167	110.68	0.0090353	1.5648	2.1897	154.95	21.321	30.639	176.35	2.6738	5.4213	0.0071393	vapor
77.400	0.69333	110.95	0.0090129	1.5647	2.1896	154.93	21.322	30.643	176.35	2.6740	5.4215	0.0071396	vapor
77.400	0.69500	111.23	0.0089906	1.5646	2.1895	154.91	21.324	30.647	176.34	2.6742	5.4216	0.0071398	vapor
77.400	0.69667	111.50	0.0089685	1.5645	2.1893	154.89	21.325	30.651	176.33	2.6743	5.4217	0.0071401	vapor
77.400	0.69833	111.78	0.0089464	1.5644	2.1892	154.87	21.327	30.655	176.32	2.6745	5.4219	0.0071404	vapor
