-0.0011     0.0016
-0.0022     0.0039
-0.0022     0.0067
-0.0022     0.0102
-0.0011     0.0133
-0.0022     0.0157
0.0293     0.0216
0.0424     0.0224
0.0576     0.0229
0.0772     0.0237
0.1130     0.0249
0.2185     0.0351
0.2315     0.0355
0.1685     0.0282
0.2848     0.0380
0.4239     0.0467
0.4837     0.0492
0.5522     0.0547
0.6293     0.0967
0.5891     0.0963
0.0163     0.0214
0.0054     0.0204
0.2380     0.0924
0.2467     0.0929
0.2511     0.0941
0.2837     0.0947
0.3261     0.0957
0.3728     0.0957
0.6283     0.0986
0.4228     0.0967
