0.57096    0.00622
0.63685    0.25488
0.66212    2.40586
0.70498    3.48757
0.76448    2.21936
0.81096    1.11901
0.86837    0.57194
0.92336    0.31083
1.00738    0.20515
1.06253    0.14298
1.11245    0.12433
1.16499    0.09947
1.21755    0.09947
1.27274    0.09947
1.32532    0.11812
1.37789    0.13055
1.43310    0.16163
1.48309    0.23002
1.53571    0.31083
1.59099    0.42274
1.64366    0.57194
1.69631    0.69005
1.75158    0.79574
1.80672    0.72735
1.85661    0.66519
1.91174    0.59059
1.96163    0.52842
2.01677    0.46004
2.06667    0.41652
2.12447    0.38544
2.17702    0.37300
2.23220    0.35435
2.28211    0.32948
2.33993    0.32948
2.38723    0.31705
2.43980    0.32327
2.49498    0.31083
